choke
breakout
break
part
return
lift
diminish
cruel
smart
distress
fracture
break of serve
cave in
weakened
give out
damp
rupture
utter
give away
injured
collapse
collapsed
idle
bump
falling out
get out
recess
perish
snap off
crack up
wreathe
hurt
utterly
break out
dead
respite
fall apart
check
numb
hide
crumple
combat injury
develop
harm
dampen
expose
prison-breaking
interruption
vanish
demote
dice
black
all in
stagnant
wander
drop dead
ruin
wear out
kick the bucket
accrue
prostration
bust
wounded
wind
burst
hang
good luck
founder
hoist
rift
settle
snuff it
fault
beat
ache
strike down
felled seam
break dance
give-up the ghost
fell
calamitous
drop
injure
death
separate
pause
recrudesce
pall
infract
drained
shift
wrap
severance
last
scent
shine
suffer
brutal
fall down
breaking
violate
break off
weaken
intermit
damage
die
fateful
pain
flow
deadened
crock up
nose
fatal
spite
discontinue
crash
break up
offend
fall
Death
happy chance
injury
fatal accident
break away
give
light
weave
end
suspension
croak
conk
bring out
crack
suffering
cut down
time out
transgress
abruptly
wind up
twist
breach
come apart
fly
gap
pass away
trauma
pop off
come
break-dance
geological fault
disastrous
conk out
reveal
suddenly
casualty
expiry
expire
fail
erupt
tumble
break in
die out
break down
precipitate
pass
bruise
breakage
interrupt
decease
buy the farm
go bad
absolutely
discover
crumble
disclose
bushed
wounding
soften
flop
scathe
destruction
disruption
dying
wound
unwrap
demise
let out
exit
jailbreak
thread
stop
decrease
let on
injured party
go
go down
give way
smash
curve
cash in one's chips
go against
lesion
lessen
savage
anguish
roll
split up
accidental injury
come down
wear
fall in
strike
devolve
become flat
intermission
bankrupt
better
twine
detriment
relegate
descend
faulting
kick downstairs
vicious
split
divulge
perfectly
roughshod
open frame
prisonbreak
get around
meander
barbarous
gaolbreak
short
